0.0;b95e7aec6c9e;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;b95e7aec6c9e;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;598B / 0B
1.0;b95e7aec6c9e;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;598B / 0B
1.5;b95e7aec6c9e;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;b95e7aec6c9e;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;b95e7aec6c9e;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.0;b95e7aec6c9e;ngtcp2;5.148MiB / 1.953GiB;0.26%;0.00%;688B / 0B
3.5;b95e7aec6c9e;ngtcp2;6.188MiB / 1.953GiB;0.31%;13.75%;46.4kB / 322kB
4.0;b95e7aec6c9e;ngtcp2;6.188MiB / 1.953GiB;0.31%;13.75%;46.4kB / 322kB
4.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;25.25%;142kB / 1.35MB
5.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;25.25%;142kB / 1.35MB
5.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;4.61%;149kB / 2.63MB
6.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;4.61%;149kB / 2.63MB
6.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;3.19%;152kB / 3.85MB
7.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;3.19%;152kB / 3.85MB
7.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.62%;154kB / 4.59MB
8.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.62%;154kB / 4.59MB
8.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;3.40%;157kB / 5.89MB
9.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;3.40%;157kB / 5.89MB
9.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.67%;159kB / 6.86MB
10.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.67%;159kB / 6.86MB
10.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;3.06%;161kB / 8.05MB
11.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;3.06%;161kB / 8.05MB
11.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.30%;163kB / 8.75MB
12.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.30%;163kB / 8.75MB
12.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.48%;167kB / 9.36MB
13.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;2.48%;167kB / 9.36MB
13.5;b95e7aec6c9e;ngtcp2;8.59MiB / 1.953GiB;0.43%;2.43%;175kB / 9.68MB
14.0;b95e7aec6c9e;ngtcp2;8.59MiB / 1.953GiB;0.43%;2.43%;175kB / 9.68MB
14.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
15.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
15.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
16.0;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
16.5;b95e7aec6c9e;ngtcp2;8.469MiB / 1.953GiB;0.42%;0.00%;175kB / 9.68MB
