0.0;102fa40f56f5;ngtcp2;5.258MiB / 1.953GiB;0.26%;0.00%;438B / 0B
0.5;102fa40f56f5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;598B / 0B
1.0;102fa40f56f5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;598B / 0B
1.5;102fa40f56f5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;102fa40f56f5;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.5;102fa40f56f5;ngtcp2;5.984MiB / 1.953GiB;0.30%;11.02%;88kB / 136kB
3.0;102fa40f56f5;ngtcp2;5.984MiB / 1.953GiB;0.30%;11.02%;88kB / 136kB
3.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;36.96%;162kB / 1.72MB
4.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;36.96%;162kB / 1.72MB
4.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;3.61%;165kB / 2.68MB
5.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;3.61%;165kB / 2.68MB
5.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.63%;168kB / 3.45MB
6.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.63%;168kB / 3.45MB
6.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;3.18%;172kB / 4.57MB
7.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;3.18%;172kB / 4.57MB
7.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.85%;174kB / 5.66MB
8.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.85%;174kB / 5.66MB
8.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;3.15%;177kB / 6.97MB
9.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;3.15%;177kB / 6.97MB
9.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.49%;179kB / 7.75MB
10.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.49%;179kB / 7.75MB
10.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.60%;183kB / 8.48MB
11.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.60%;183kB / 8.48MB
11.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.69%;188kB / 9.2MB
12.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.69%;188kB / 9.2MB
12.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.70%;193kB / 9.69MB
13.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;2.70%;193kB / 9.69MB
13.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;0.39%;197kB / 9.7MB
14.0;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;0.39%;197kB / 9.7MB
14.5;102fa40f56f5;ngtcp2;8.738MiB / 1.953GiB;0.44%;0.00%;197kB / 9.7MB
